Nr. Crt;Categorie;Compania;Brand;Denumirea promotiei;Data Start;Data Sfarsit;Durata zile;Durata luni;Slogan;Mecanism;Tip promotie;Validare; Valoare Premii ;Premii;Masina;Excursie;Instant;Zilnice;Saptamanale/ Lunare;La sfarsit de campanie;SMS;Website;APP;Facebook;Whatsapp;Clip YOUTUBE;Instagram;;
27;Food;Rompak SRL;Pakmaya;Aminte?te-?i gustul dulce de acas?;01.11.2020;15.12.2020;45;2;Aminte?te-?i gustul dulce de acas?;"Cump?r? oricare dintre produsele participante în Campanie

Înscrie num?rul
bonului fiscal pe www.maiestrieinbucatarie.ro sau prin SMS* la 1899

Po?i câ?tiga prin tragere la sor?i unul dintre premiile Campaniei – premii mari, premii zilnice sau s?pt?mânale";Buy & send;Bon fiscal;5,000.00;10 Carduri Emag de 500 lei;Nu;Nu;Nu;Nu;Nu;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;;
28;Card;Banca Comerciala Romana S.A;BCR;„Descopera lumea BCR – VISA”;09.11.2020;31.01.2021;82;4;„Descopera lumea BCR – VISA”;"Mecanismul Campaniei consta in completarea setului de 3 (trei) puzzle-uri existente in extensia
„Visa Play & Explore” din aplicatia mobila George:
4.1.1 Puzzle-ul „Adventure”
4.1.2 Puzzle-ul „Play”
4.1.3 Puzzle-ul „Experience";Acumulare de puncte/ Buy&send;Formular contact;506,400.00;"1000 de vouchere eMAG in valoare de 300 de lei fiecare
b) 1000 de vouchere Vodafone in valoare de 200 de lei fiecare. La momentul utilizarii,
valoarea voucher-ului va fi convertita in euro la cursul stabilit in magazinele Vodafone.
c) 1130 de vouchere Carturesti in valoare de 100 de lei fiecare
d) 10 telefoane Samsung S20 Plus in valoare bruta de 4,594 de lei, valoare neta de 4,194
de lei fiecare";Nu;Nu;Da;Nu;Nu;Da;Nu;Nu;Nu;Nu;Nu;Nu;Nu;;
29;Food;SC ORBICO SRL;Pringles;Po?i câ?tiga o super petrecere cu Pringles;01.10.2020;03.02.2021;125;5;Po?i câ?tiga o super petrecere cu Pringles;"s? achizi?ioneze o cutie Pringles;
b. s? viziteze Pringles.com ?i s? introduc? codul de lot format din 19 cifre, aflat pe fundul cutiei Pringles;
c. s? î?i creeze un cont Kellogg’s, dac? nu au f?cut-o deja, sau s? se conecteze folosind un cont de pe un site de socializare";Buy & send;Formular contact;;"1 x Nivelul 1 – Experien?e de Super Petrecere Pringles;
b. 20 x Nivelul 2 - Vouchere de 100 € valabile pentru mai mul?i comercian?i;
c. 144 x Nivelul 3 - Vouchere de 25 € valabile pentru mai mul?i comercian?i ?i;
d. 520 x Nivelul 4 – Film de închiriat de la magazinul Rakuten TV ";Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Da;Nu;Nu;Nu;;
30;Aparat de ras;SC SARANTIS ROMANIA SA;WILKINSON SWORD;WILKINSON SWORD – 1, 2, 3 SI AI CASTIGAT;15.10.2020;31.12.2020;77;3;WILKINSON SWORD – 1, 2, 3 SI AI CASTIGAT;Cumparatorul ce a achizitionat produse Wilkinson Sword in valoare de minim 20 lei din orice punct de vanzare din Romania in intervalul 15.10.2020 ora 00:01 – 31.12.2020, ora 23:59 are dreptul de a inscrie o singura data bonul fiscal aferent achizitiei in Campania pentru premiile campaniei.;Buy & send;Bon fiscal + Formular contact;21,702.22;6 x Telefon Mobil Huawei P30, 18 x Voucher cumparaturi online in valoare de 500 lei fiecare, 78 x set produse Wilkinson Sword Xtreme3 Sensitive + Wilkinson Sword Xtreme 3 Beauty;Nu;Nu;Nu;Nu;Nu;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;;
31;Food;SC ORBICO SRL;Pringles;“CÂ?TIG? LA ÎNCEPUT DE AN ?I URC? LA  VOLAN!”;01.11.2020;31.12.2020;61;2;“CÂ?TIG? LA ÎNCEPUT DE AN ?I URC? LA  VOLAN!”;"Participantul trebuie sa achizi?ioneze minimum doua Produse Pringles 165 gr in perioada Campaniei 01.11.2020 – 31.12.2020 si sa poat? face dovada de achizi?ie;";Buy & send;Formular contact;191,588.77;Skoda Karoq, Segway Drift e Skates, Camera Video Sport Insta360, Boxa portabila JBL;Da;Nu;Nu;Nu;Da;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
32;Drinks;URSUS BREWERIES SA;Peroni;Instagrammable respiro moment;06.08.2020;10.09.2020;35;2;Instagrammable respiro moment;Participan?ii trebuie sa posteze pe contul personal de Instagram o fotografie de la loca?ia Neversea Beach, al?turi de hashtagurile #MomenteDeRespiro ?i #NeverseaBeach ?i s? o prezinte barmanilor de la barul plajei Neversea Beach;Social contest;Poza cu #;1,200.00;n 1200 pahare de 0.4l cu bere Peroni Nastro Azzurro la draught;Nu;Nu;Nu;Nu;Da;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;;
33;Drinks;URSUS BREWERIES SA;Peroni;“Peroni: the whole package pentru Momente de Respiro ”;14.10.2020;18.10.2020;4;1;“Peroni: the whole package pentru Momente de Respiro ”;Organizatorul va posta pe pagina de Facebook Peroni Romania https://www.facebook.com/PeroniRomania textul urmator, corespunzator Campaniei, in data de 14 octombrie 2020: „CONCURS - Telefonul f?r? înc?rc?tor? Ca berea f?r? desf?c?tor! A?a c?, punem la b?taie 10 kit-uri Peroni „the whole package”. Tot ce trebuie s? faci este s? dai tag unui prieten f?r? de care momentele de respiro nu ar mai fi la fel ?i po?i câ?tiga ?i tu un kit, prin tragere la sor?i. Po?i accesa aici regulamentul campaniei: link;Social contest;Tag;1.13;KIT Peroni: (1 kit = 1x set 6 Pahare Peroni 0.3 l + 6 x coasters Peroni + 1 x desfacator Peroni + 1 x 6 pack 330ml NRB Peroni);Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Da;Nu;Nu;Nu;;
34;Drinks;AFI MARKET DISTRIBUTION SRL;Baltagul;Fr??ia Baltagului – achizi?ioneaz? un produs Baltagul ?i po?i câ?tiga o ma?in? de lux ?i sute de premii”;19.10.2020;14.02.2021;141;5;Fr??ia Baltagului – achizi?ioneaz? un produs Baltagul ?i po?i câ?tiga o ma?in? de lux ?i sute de premii”;Participanul trebuie sa cumpere un produs Baltagul din magazin, online sau din Horeca.;Buy & send;Bon fiscal;191,172.02;masina de lux, bax de bautura spirtoasa Baltagul 0,5 l (1 bax=12 sticle);Da;Nu;Nu;Da;Nu;Da;Da;Nu;Nu;Nu;Nu;Nu;Nu;;
35;Food;Danone ? Productie si Distributie de Produse Alimentare S.R.L.;Cremosso;“ Transforma-ti pauza intr-o vacanta Cremosso”;15.10.2020;30.11.2020;46;2;“ Transforma-ti pauza intr-o vacanta Cremosso”;"sa achizitioneze Produse Participante Cremosso in valoare de minimum 10 lei pe acelasi bon fiscal, in Perioada Campaniei, respectand conditiile mentionate in prezentul Regulament;";Buy & send;Formular contact;34,059.01;Perna de masaj, Casti wireless, voucher de vacabta;Nu;Da;Nu;Da;Da;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
36;Food;Unilever South Central Europe S.A;Delikat;„ Masa e norocoasa, cu gustul de acasa!”;05.10.2020;12.01.2021;98;4;„ Masa e norocoasa, cu gustul de acasa!”;trebuie sa achizitioneze in perioada de desfasurare a Campaniei orice produs participant la Campanie si sa se inscrie prin una dintre cele doua modalitati disponibile, respectiv inscrierea Codului unic de pe ambalaj prin SMS sau inscrierea codului unic prin completarea formularului web;Buy & send;Bon fiscal + Formular contact;50000;100 de premii in valoare de 500 de lei;Nu;Nu;Nu;Da;Nu;Nu;Da;Da;Nu;Nu;Nu;Nu;Nu;;
37;Card; AXI FINANCE I.F.N. S.A;AXI;"""Castiga cu AXI CARD cu voucher eMAG in valoare de 1500 RON, si alege-ti premiul!""";01.11.2020;31.01.2021;91;3;"""Castiga cu AXI CARD cu voucher eMAG in valoare de 1500 RON, si alege-ti premiul!""";"inregistreaza o solicitare pentru cardul Axi (inclusiv, dar fara a se limita la, prin intermediul website-ului www.axi-card.ro sau prin call center-ul Organizatorului) in perioada 01.11.2020 – 31.01.2021;";Card;Card;21000;14 Vouchere Emag;Nu;Nu;Nu;Da;Nu;Nu;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
38;Food;Goodmills Romania SRL;Raftul bunicii;Gatit cu drag!;01.11.2020;01.02.2021;92;4;Gatit cu drag!;Sa achizitioneze unul sau mai multe produse participante;Buy & send;Formular contact;34100;Masina de facut paine si seturi de articole de bucatarie branduite;Nu;Nu;Nu;Nu;Da;Nu;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
39;Drinks;Nestlé Romania S.R.L;Nespresso;Descoperiti savoarea Originala Nespresso in magazinele partenere;30.10.2020;10.01.2021;101;4;Descoperiti savoarea Originala Nespresso in magazinele partenere;Primiti o reducere in valoare de 100 RON (TVA inclus) pentru capsule de cafea originale Nespresso la achizitionarea unui aparat de cafea Essenza Mini, Inissia sau Pixie, Primiti o reducere in valoare de 130 RON (TVA inclus) pentru capsule de cafea originale Nespresso la achizitionarea unui aparat de cafea CitiZ, Essenza Plus, Lattissima One sau Lattissima Touch, Primiti o reducere in valoare de 230 RON (TVA inclus) pentru capsule de cafea originale Nespresso la achizitionarea unui aparat de cafea CitiZ&milk, Expert&Milk, Nespresso Atelier, Gran Lattissima sau Creatista Plus.;Acumulare de puncte;Bon fiscal ;;reducere ?a achizitionarea unor produse;Nu;Nu;Nu;Nu;Nu;Nu;Nu;Nu;Nu;Nu;Nu;Nu;Nu;;
40;Food;ETI European Food Industries S.A;ETI;"“Redescopera-ti pasiunile cu o dulce bucurie!""";29.06.2020;23.08.2020;55;3;"“Redescopera-ti pasiunile cu o dulce bucurie!""";"Sa achizitioneze oricare din produsele participante la Campanie, in valoare de minimum 15 lei pe acelasi bon fiscal, in perioada Campaniei, Sa inscrie pe website-ul campaniei, www.etibonus.com/ro, in formularul dedicat campaniei “Redescopera-ti pasiunile cu o dulce bucurie!"", numarul bonului fiscal care atesta achizitionarea produselor, valoarea bonului, data bonului, magazinul din care s-a facut achizitia, impreuna cu numele si numarul de telefon";Buy & send;Formular contact;32700;4 vouchere Carturesti in valoare de 50 lei, 3 biciclete BTWIN Urban, 5 trotinete electrice;Nu;Nu;Nu;Da;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
